Name,Brands,Price,Slashed_price,Discount_Price_Amount,Review,Reviews,Review_count,Discount,Discount_Percentage
Fire-Boltt Ninja Call Pro Plus 46.48mm,Fire-Boltt,999,"₹19,999₹19,999","19,999",4.1 out of 5 stars,4.1,"79,260","₹999₹999 M.R.P: ₹19,999₹19,999 (95% off)",(95% off)
Fire-Boltt Phoenix Pro 35.3mm,Fire-Boltt,"1,199","₹11,999₹11,999","11,999",4.1 out of 5 stars,4.1,"79,058","₹1,199₹1,199 M.R.P: ₹11,999₹11,999 (90% off)",(90% off)
CrossBeats Hustl Smartwatch,CrossBeats,"1,499","₹7,999₹7,999","7,999",4.1 out of 5 stars,4.1,"1,133","₹1,499₹1,499 M.R.P: ₹7,999₹7,999 (81% off)",(81% off)
Fire-Boltt Ninja Call Pro Plus 46.48mm,Fire-Boltt,999,"₹19,999₹19,999","19,999",4.1 out of 5 stars,4.1,"79,260","₹999₹999 M.R.P: ₹19,999₹19,999 (95% off)",(95% off)
Fire-Boltt Ninja Call Pro Max 51.05mm,Fire-Boltt,"1,099","₹14,999₹14,999","14,999",4.1 out of 5 stars,4.1,"79,260","₹1,099₹1,099 M.R.P: ₹14,999₹14,999 (93% off)",(93% off)
Noise Twist Round dial Smart Watch with Bl,Noise,"1,299","₹4,999₹4,999","4,999",4.1 out of 5 stars,4.1,"26,412","₹1,299₹1,299 M.R.P: ₹4,999₹4,999 (74% off)",(74% off)
Fire-Boltt Ninja Call Pro Max 51.05mm,Fire-Boltt,"1,099","₹14,999₹14,999","14,999",4.1 out of 5 stars,4.1,"79,260","₹1,099₹1,099 M.R.P: ₹14,999₹14,999 (93% off)",(93% off)
Noise Twist Go Bluetooth Calling Smart Wat,Noise,"1,498","₹4,999₹4,999","4,999",4.1 out of 5 stars,4.1,"26,412","₹1,498₹1,498 M.R.P: ₹4,999₹4,999 (70% off)",(70% off)
boAt Storm Call 3 w,boAt,"1,049","₹8,449₹8,449","8,449",4.2 out of 5 stars,4.2,"31,614","₹1,049₹1,049 M.R.P: ₹8,449₹8,449 (88% off)",(88% off)
boAt Wave Sigma 3 w,boAt,"1,099","₹8,999₹8,999","8,999",4.0 out of 5 stars,4,"21,483","₹1,099₹1,099 M.R.P: ₹8,999₹8,999 (88% off)",(88% off)
